subregion,degurba_class,n,overture_empty_rate,ghs_hasbldg_rate,unmapped_rate,true_empty_rate
Australia and New Zealand,low_density_rural,700.0,0.011428571428571429,0.9928571428571429,0.011428571428571429,0.0
Australia and New Zealand,very_low_density_rural,700.0,0.88,0.04857142857142857,0.002857142857142857,0.8771428571428571
Caribbean,low_density_rural,700.0,0.37857142857142856,0.9271428571428572,0.34285714285714286,0.03571428571428571
Caribbean,very_low_density_rural,357.0,0.3865546218487395,0.27170868347338933,0.011204481792717087,0.3753501400560224
Central America,low_density_rural,700.0,0.015714285714285715,0.9685714285714285,0.008571428571428572,0.007142857142857143
Central America,very_low_density_rural,700.0,0.5814285714285714,0.24,0.03142857142857143,0.55
Central Asia,low_density_rural,700.0,0.19714285714285715,0.9957142857142857,0.19285714285714287,0.004285714285714286
Central Asia,very_low_density_rural,700.0,0.9257142857142857,0.06142857142857143,0.02857142857142857,0.8971428571428571
Eastern Africa,low_density_rural,700.0,0.43142857142857144,0.9085714285714286,0.37142857142857144,0.06
Eastern Africa,very_low_density_rural,700.0,0.8157142857142857,0.17285714285714285,0.08285714285714285,0.7328571428571429
Eastern Asia,low_density_rural,700.0,0.2785714285714286,0.9257142857142857,0.24142857142857144,0.037142857142857144
Eastern Asia,very_low_density_rural,700.0,0.8157142857142857,0.15428571428571428,0.045714285714285714,0.77
Eastern Europe,low_density_rural,700.0,0.01,0.9971428571428571,0.01,0.0
Eastern Europe,very_low_density_rural,700.0,0.8671428571428571,0.08285714285714285,0.008571428571428572,0.8585714285714285
Melanesia,low_density_rural,700.0,0.5657142857142857,0.6357142857142857,0.31,0.2557142857142857
Melanesia,very_low_density_rural,700.0,0.9385714285714286,0.05,0.03,0.9085714285714286
Micronesia,low_density_rural,21.0,0.19047619047619047,0.47619047619047616,0.0,0.19047619047619047
Micronesia,very_low_density_rural,3.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666
Middle Africa,low_density_rural,700.0,0.20714285714285716,0.8414285714285714,0.13714285714285715,0.07
Middle Africa,very_low_density_rural,700.0,0.83,0.08142857142857143,0.012857142857142857,0.8171428571428572
Northern Africa,low_density_rural,700.0,0.18142857142857144,0.8928571428571429,0.12142857142857143,0.06
Northern Africa,very_low_density_rural,700.0,0.8985714285714286,0.04857142857142857,0.015714285714285715,0.8828571428571429
Northern America,low_density_rural,700.0,0.005714285714285714,0.9971428571428571,0.005714285714285714,0.0
Northern America,very_low_density_rural,700.0,0.7242857142857143,0.18571428571428572,0.007142857142857143,0.7171428571428572
Northern Europe,low_density_rural,700.0,0.0014285714285714286,0.9857142857142858,0.0014285714285714286,0.0
Northern Europe,very_low_density_rural,700.0,0.3271428571428571,0.28,0.0,0.3271428571428571
Polynesia,low_density_rural,23.0,0.0,1.0,0.0,0.0
Polynesia,very_low_density_rural,6.0,0.6666666666666666,0.16666666666666666,0.0,0.6666666666666666
South America,low_density_rural,700.0,0.07571428571428572,0.9157142857142857,0.045714285714285714,0.03
South America,very_low_density_rural,700.0,0.7028571428571428,0.09,0.004285714285714286,0.6985714285714286
South-Eastern Asia,low_density_rural,700.0,0.04428571428571428,0.9157142857142857,0.022857142857142857,0.02142857142857143
South-Eastern Asia,very_low_density_rural,700.0,0.6114285714285714,0.21714285714285714,0.02857142857142857,0.5828571428571429
Southern Africa,low_density_rural,700.0,0.04428571428571428,0.9871428571428571,0.041428571428571426,0.002857142857142857
Southern Africa,very_low_density_rural,700.0,0.7342857142857143,0.11857142857142858,0.007142857142857143,0.7271428571428571
Southern Asia,low_density_rural,700.0,0.13714285714285715,0.9585714285714285,0.12285714285714286,0.014285714285714285
Southern Asia,very_low_density_rural,700.0,0.6371428571428571,0.27,0.055714285714285716,0.5814285714285714
Southern Europe,low_density_rural,700.0,0.01,1.0,0.01,0.0
Southern Europe,very_low_density_rural,700.0,0.12714285714285714,0.5742857142857143,0.02857142857142857,0.09857142857142857
Western Africa,low_density_rural,700.0,0.15714285714285714,0.9371428571428572,0.1357142857142857,0.02142857142857143
Western Africa,very_low_density_rural,700.0,0.7528571428571429,0.18571428571428572,0.045714285714285714,0.7071428571428572
Western Asia,low_density_rural,700.0,0.12,0.9028571428571428,0.09714285714285714,0.022857142857142857
Western Asia,very_low_density_rural,700.0,0.75,0.12285714285714286,0.022857142857142857,0.7271428571428571
Western Europe,low_density_rural,700.0,0.0,1.0,0.0,0.0
Western Europe,very_low_density_rural,700.0,0.047142857142857146,0.86,0.017142857142857144,0.03
