metric,family,grad_U1,grad_U2,grad_angle_deg,grad_len,island_separation
d,amount/coverage,0.546655209582022,0.8399149837877574,56.942074928624834,1.0021422544501122,0.05166626198858806
Λ̄,sparseness/sharpness,-0.5389479475502673,-0.8306005305069563,-122.97814428384385,0.9901323807688964,-0.05334183157298368
s_Λ,sparseness/sharpness,-0.5143594277269621,-0.8769109566598878,-120.39410969864912,1.0166309294929836,-0.01781716644409375
r_crit,independent/island,0.34924911937478464,0.18448342599887455,27.844302121524546,0.3949798499320501,0.49458014649346443
Δα,amount/coverage,0.1377738854788318,0.7897320314245921,80.10397224990724,0.8016597314184786,-0.06542592367771438
W_tr,independent/island,-0.6568029715089241,0.2254365229759618,161.05608260970757,0.6944146954626205,0.49519161507021164
γ,sparseness/sharpness,-0.4707937739744415,-0.890307186149629,-117.8698525164181,1.007121473965662,-0.4939709036461495
ΔD,independent/island,0.5796212249115081,-0.5117678342605264,-41.44240942751205,0.7732186498989964,-0.47598235603577355
S_α,independent/island,-0.20622693074395712,0.44171823187808085,115.02666604235185,0.48748799301887513,0.49374570029541504
N_b,amount/coverage,0.4697662786710014,0.7605686624303782,58.298391401560615,0.8939491298991994,-0.005934401683460806
Ā_b,amount/coverage,0.333713369527736,0.41310925148587896,51.06841048672167,0.5310591931835645,0.08767593379466632
L_r,amount/coverage,0.39485814662910823,0.5587066011783615,54.749770246960416,0.6841535077449,-0.030785075472461676
