,d,Λ̄,s_Λ,r_crit,Δα,W_tr,γ,ΔD,S_α,N_b,Ā_b,L_r
d,1.0,-0.9905577080260732,-0.9576022790384017,0.4156201120772293,0.64888624423509,-0.10140638524901836,-0.9346001463689763,-0.1685353548457638,0.22670877909366693,0.867752545886557,0.5350980537284608,0.6790927556245557
Λ̄,-0.9905577080260731,1.0,0.9468515161103541,-0.4233485453324247,-0.6313234375668859,0.09946048075775894,0.924082066796864,0.17664840757967168,-0.21918281766053246,-0.9148229495575302,-0.44705380924525595,-0.6631514139272942
s_Λ,-0.9576022790384017,0.9468515161103541,1.0,-0.2991305702542867,-0.704260108987773,0.06806302635732109,0.9748374208333528,0.2070351423655961,-0.28301653236450197,-0.8652912391569968,-0.4651114334416583,-0.62478687937097
r_crit,0.4156201120772293,-0.4233485453324247,-0.2991305702542867,1.0,-0.15905184817917356,-0.10664050060567107,-0.33275465908918267,0.003518300349642926,0.026638528521568176,0.3489988409168439,0.2709264791882102,0.5962031295286685
Δα,0.64888624423509,-0.6313234375668859,-0.704260108987773,-0.15905184817917356,1.0,0.06424988012767312,-0.6852185875286736,-0.2689259765579797,0.353081465127411,0.56592942122954,0.3500635889180113,0.46857121537690466
W_tr,-0.10140638524901836,0.09946048075775896,0.06806302635732109,-0.10664050060567108,0.06424988012767312,0.9999999999999998,0.037632545208388934,-0.6794374544597805,0.38169310959569136,-0.07069317733095498,-0.08687736073211236,-0.12247801086100402
γ,-0.9346001463689763,0.924082066796864,0.9748374208333528,-0.33275465908918267,-0.6852185875286736,0.037632545208388934,1.0,0.24040552507610222,-0.3164652783033693,-0.8419810788287252,-0.4554170807928191,-0.6044779174001339
ΔD,-0.1685353548457638,0.17664840757967168,0.2070351423655961,0.003518300349642926,-0.2689259765579797,-0.6794374544597807,0.24040552507610222,0.9999999999999998,-0.42936180105536487,-0.18352974763857674,-0.0175616879069731,-0.09975726330977255
S_α,0.2267087790936669,-0.21918281766053246,-0.28301653236450197,0.026638528521568172,0.353081465127411,0.38169310959569136,-0.3164652783033693,-0.4293618010553648,1.0,0.2186864321238486,0.09370888473303787,0.24462900445995645
N_b,0.8677525458865569,-0.9148229495575302,-0.8652912391569968,0.3489988409168439,0.56592942122954,-0.07069317733095498,-0.8419810788287252,-0.18352974763857674,0.21868643212384858,1.0,0.1102489455940091,0.5383523109814081
Ā_b,0.5350980537284608,-0.44705380924525595,-0.4651114334416583,0.2709264791882102,0.3500635889180113,-0.08687736073211236,-0.4554170807928191,-0.0175616879069731,0.09370888473303787,0.1102489455940091,1.0,0.475917636984548
L_r,0.6790927556245557,-0.6631514139272942,-0.62478687937097,0.5962031295286686,0.46857121537690466,-0.12247801086100402,-0.6044779174001339,-0.09975726330977255,0.24462900445995645,0.5383523109814081,0.475917636984548,1.0
