subregion,degurba_class,n_attempted,n_done,n_failed,empty_rate,est_total_cells,pool_exhausted,design_weight,est_nonempty_cells
Australia and New Zealand,low_density_rural,700,692,8,0.011428571428571429,5066,False,7.2371428571428575,5008
Australia and New Zealand,very_low_density_rural,700,84,616,0.88,1971572,False,2816.5314285714285,236589
Caribbean,low_density_rural,700,435,265,0.37857142857142856,6778,False,9.682857142857143,4212
Caribbean,very_low_density_rural,357,219,138,0.3865546218487395,40365,True,113.0672268907563,24762
Central America,low_density_rural,700,689,11,0.015714285714285715,40536,False,57.90857142857143,39899
Central America,very_low_density_rural,700,293,407,0.5814285714285714,559575,False,799.3928571428571,234222
Central Asia,low_density_rural,700,562,138,0.19714285714285715,13721,False,19.60142857142857,11016
Central Asia,very_low_density_rural,700,52,648,0.9257142857142857,950339,False,1357.6271428571429,70597
Eastern Africa,low_density_rural,700,398,302,0.43142857142857144,188145,False,268.7785714285714,106974
Eastern Africa,very_low_density_rural,700,129,571,0.8157142857142857,1444335,False,2063.3357142857144,266170
Eastern Asia,low_density_rural,700,505,195,0.2785714285714286,251757,False,359.65285714285716,181625
Eastern Asia,very_low_density_rural,700,129,571,0.8157142857142857,2410730,False,3443.9,444263
Eastern Europe,low_density_rural,700,693,7,0.01,94854,False,135.50571428571428,93905
Eastern Europe,very_low_density_rural,700,93,607,0.8671428571428571,4425155,False,6321.65,587913
Melanesia,low_density_rural,700,304,396,0.5657142857142857,6166,False,8.808571428571428,2678
Melanesia,very_low_density_rural,700,43,657,0.9385714285714286,119400,False,170.57142857142858,7335
Micronesia,low_density_rural,21,17,4,0.19047619047619047,108,True,5.142857142857143,87
Micronesia,very_low_density_rural,3,1,2,0.6666666666666666,339,True,113.0,113
Middle Africa,low_density_rural,700,555,145,0.20714285714285716,46964,False,67.09142857142857,37236
Middle Africa,very_low_density_rural,700,119,581,0.83,1577529,False,2253.612857142857,268180
Northern Africa,low_density_rural,700,573,127,0.18142857142857144,33531,False,47.901428571428575,27448
Northern Africa,very_low_density_rural,700,71,629,0.8985714285714286,1863592,False,2662.2742857142857,189021
Northern America,low_density_rural,700,696,4,0.005714285714285714,111898,False,159.8542857142857,111259
Northern America,very_low_density_rural,700,193,507,0.7242857142857143,4461902,False,6374.145714285714,1230210
Northern Europe,low_density_rural,700,699,1,0.0014285714285714286,23693,False,33.847142857142856,23659
Northern Europe,very_low_density_rural,700,471,229,0.3271428571428571,379570,False,542.2428571428571,255396
Polynesia,low_density_rural,23,23,0,0.0,118,True,5.130434782608695,118
Polynesia,very_low_density_rural,6,2,4,0.6666666666666666,678,True,113.0,226
South America,low_density_rural,700,647,53,0.07571428571428572,81838,False,116.91142857142857,75642
South America,very_low_density_rural,700,208,492,0.7028571428571428,4285402,False,6122.0028571428575,1273377
South-Eastern Asia,low_density_rural,700,669,31,0.04428571428571428,118213,False,168.87571428571428,112978
South-Eastern Asia,very_low_density_rural,700,272,428,0.6114285714285714,905677,False,1293.8242857142857,351920
Southern Africa,low_density_rural,700,669,31,0.04428571428571428,19090,False,27.271428571428572,18245
Southern Africa,very_low_density_rural,700,186,514,0.7342857142857143,640080,False,914.4,170078
Southern Asia,low_density_rural,700,604,96,0.13714285714285715,237573,False,339.39,204992
Southern Asia,very_low_density_rural,700,254,446,0.6371428571428571,1141764,False,1631.0914285714287,414297
Southern Europe,low_density_rural,700,693,7,0.01,39466,False,56.38,39071
Southern Europe,very_low_density_rural,700,611,89,0.12714285714285714,277922,False,397.0314285714286,242586
Western Africa,low_density_rural,700,590,110,0.15714285714285714,101303,False,144.71857142857144,85384
Western Africa,very_low_density_rural,700,173,527,0.7528571428571429,1356141,False,1937.3442857142857,335161
Western Asia,low_density_rural,700,616,84,0.12,41590,False,59.41428571428571,36599
Western Asia,very_low_density_rural,700,175,525,0.75,1046334,False,1494.7628571428572,261584
Western Europe,low_density_rural,700,700,0,0.0,64784,False,92.54857142857144,64784
Western Europe,very_low_density_rural,700,667,33,0.047142857142857146,182153,False,260.2185714285714,173566
