subset,weighted,d_median,n,density,density_lo,density_hi,lacunarity_mean,lacunarity_mean_lo,lacunarity_mean_hi,lacunarity_slope,lacunarity_slope_lo,lacunarity_slope_hi,r_crit,r_crit_lo,r_crit_hi,mfa_alpha_width,mfa_alpha_width_lo,mfa_alpha_width_hi,W_trans,W_trans_lo,W_trans_hi,gamma,gamma_lo,gamma_hi,Delta_D,Delta_D_lo,Delta_D_hi,S_alpha,S_alpha_lo,S_alpha_hi
all,True,1.625e-05,800,9.068630396605982,8.654012807299553,9.307848741202873,8.429741550756008,8.149853690013458,8.589446904377978,8.688885773489572,8.371313582145008,8.908279791236627,1.3264612665746978,1.1511427325373833,2.4889225123879517,9.522417315445882,9.142236944745491,9.820171936850068,2.081205751189483,1.255802307690639,2.6243101185203566,5.148838593933922,4.804894702465104,5.5753338254852,10.068157683703232,9.603486825588199,10.32386052186643,3.265201925909713,2.5138498305194625,3.908281137394934
all,True,3.4e-05,800,9.184293428003155,8.851339436571184,9.532551738752476,8.585417833652498,8.30847504281477,8.8004987119467,8.431843796711343,8.107891473893512,8.791688944344296,1.8900250617209642,1.3322852586147027,2.338042007787907,9.336153588695705,9.044264351999365,9.749698076183591,2.2356345356803966,1.6677480755306413,2.7501187741102235,4.552354176389567,4.261943850059048,5.159946243857586,10.038230014757632,9.62577378451341,10.394931011363658,2.805452901822236,2.2439454119919815,3.222786464377054
all,True,6.2125e-05,800,9.390417330532987,9.123947682205825,9.716116651194133,8.742165660365137,8.485414243228087,9.015762233839595,8.378684408969352,8.075239996371604,8.768344477342184,1.9210421139420588,1.3197440379971161,2.3708596071060652,9.400198752514203,9.017885138147983,9.725360156545278,2.1745074357161935,1.6173673214857738,2.597884163858395,4.516191466643211,4.139400048572805,5.0945714488391625,9.972746519015805,9.56452371341925,10.299169423345026,2.5984266927974606,2.1470151209576054,3.039766006362359
all,True,9.7625e-05,800,8.986559013342028,8.656134891459883,9.213723931411398,8.720913537868253,8.40738374065622,8.916873673802504,8.325470035753735,8.040068666423032,8.612678970978617,2.2811414646334884,1.789758965985639,2.698525424837175,9.23257280752675,8.94705677767946,9.586582043571877,2.4057555895096923,1.9501571842579792,2.8179077857649473,4.4150632258314495,4.075676696565168,4.9206404407932185,9.978379083928889,9.549366351679764,10.326967195704372,2.503748180891929,2.0820836029963603,2.884923628838987
all,True,0.000154,800,9.152210990941523,8.797965720780875,9.42295639635272,8.754033777559078,8.466361504339956,9.07675594294944,8.279910622892848,7.942500553543469,8.614856173773322,2.076301976492281,1.3231210150018806,2.6079142487588918,9.376442164994844,8.994730099040464,9.708510066882623,2.2409746072555223,1.5435943703728432,2.748938826232202,4.502181253097698,4.05034744615571,5.646755169060164,10.044383331486035,9.629585962921512,10.438826271026128,2.1969316657435645,1.5471263141091307,2.653806935958871
all,True,0.00021675,800,9.329656192777499,9.064971329398608,9.5622369030217,9.022767164813091,8.73528787548307,9.25477686750952,8.05763542582988,7.694163987192774,8.330673461466436,1.8638041821673386,1.299153035002348,2.4122960632664747,9.499013398698793,9.12297502000247,9.889516629322962,2.085283450863616,1.5136368211794824,2.517215197760243,4.83338857618755,4.195453182079404,5.8078899877960195,9.952673972312265,9.53607412734522,10.243830197160236,1.962873447318602,1.4650200742446564,2.432897321057148
all,True,0.00029125,800,9.735778447643586,9.295788663124183,10.019841707540396,9.134369703493391,8.755257601888268,9.473422079311131,8.028501271397696,7.6107098049314965,8.485433929797054,1.7937287867404481,1.0595864193498319,2.301444226667497,9.210498777849185,8.735246515476735,9.632201058953877,1.9133209127542579,1.0943063146416216,2.397648166176093,4.952548669853055,4.298653642268752,6.274231043429514,9.842389248301302,9.393265416083757,10.1052626078864,1.7920000797729558,1.2833872247931013,2.327808125572708
all,True,0.00038075,800,10.155061100503836,9.569894098976485,10.684999347771186,8.638751563171574,7.9036138038596535,9.368104029567677,8.167083402181447,7.677805832819968,8.538507237807941,1.7727888833027932,0.9024642171226197,2.368366713489795,9.140755353914551,8.603324851739066,9.680092973502864,1.8762076455042649,0.8467907582582623,2.4684098443965885,4.928854207652175,4.15807813754692,6.812599789826426,9.970372088933853,9.37784123433836,10.352605143948235,1.874457751556545,1.2778889917249618,2.5835434956085077
all,True,0.000472125,800,10.101091434325228,9.533398614276601,10.656782964974356,8.644076824144314,7.766136648047714,9.495501458002202,8.03401453609238,7.613430740027089,8.460484953962618,2.0106434556024877,1.380370282077997,2.4813803401687653,9.083629859800382,8.463225132865064,9.726868744330817,2.225316933496599,1.5676079030980499,2.705564741487712,4.507411590700951,3.9536815351672634,5.4940640637170235,10.068851674219333,9.556112666620313,10.607299991570725,2.2633682812376548,1.5874244554120998,2.7719190357532515
all,True,0.0005775,800,9.641862483112613,9.256911090583088,9.940588137108458,9.333267298047785,9.063972143537004,9.69960928915688,7.926683541476828,7.5438460317497436,8.31445641017188,1.8593967046639028,1.1770718398851463,2.379987766611997,9.60664130832836,9.158405802157752,9.969353147070057,2.1631113448691517,1.212932198236122,2.686386613966619,4.645588155057358,4.1312793049033125,5.979426012467802,9.744670306711216,9.352268402298174,10.108791729159101,2.0249535261296767,1.3794947579483698,2.5031973852355938
all,True,0.00070225,800,9.812688719579022,9.423569741348093,10.175440503251284,9.149622023063273,8.835628586122105,9.543642578547834,7.946604937323584,7.540216058647057,8.534267833988066,1.9084573418458297,1.1723193076384795,2.4996180169098743,9.545986194110046,9.133672302526593,9.95717431844049,2.096899038745579,1.2362038366185726,2.769749045385096,4.490628961340584,3.860802489110156,5.847074055325234,9.814757981430487,9.236150629676866,10.189346080594195,2.0055989262580844,1.4398095983803563,2.563918341626599
